Category,Item Name,Unit Rate
Snacks,CHEESE MUFFINS,65
Snacks,CHOCOLATE CHIP COOKIES,65
Snacks,CHOCOLATE PANNA COTTA,65
Snacks,BLUEBERRY STREUSEL BAR,65
Snacks,BAKED CHURROS,65
Snacks,MANGO JELLY GRAHAM,65
Snacks,MILO OVERNIGHT OATS,65
Snacks,CARAMEL BAR,65
Snacks,CHEDDAR AND SCALLION BUNS,65
Snacks,BANANA BREAD,65
Snacks,MATCHA STRAWBERRY PANNA COTTA,65
Snacks,UBE CREAM PUFFS,65
Snacks,CHOCOLATE COOKIES WITH ALMONDS,65
Snacks,CHEESE BAR,65
Snacks,CHOCOLATE REVEL BAR,65
Snacks,BLUEBERRY STREUSEL MUFFINS,65
Snacks,OATS AND CASHEW COOKIES,65
Snacks,OATMEAL BLONDIES,65
Snacks,WHITE CHOCO MOCHA MUFFINS,65
Snacks,LEMON SPONGE CAKE WITH SLICED ALMONDS,65
Snacks,BEIGNET,65
Snacks,RED VELVET CHIFFON SLICE,65
Snacks,WHITE CHOCOLATE CHIP MATCHA COOKIES,65
Snacks,MINI CINNAMON ROLLS,65
Snacks,CHOCOLATE CHIFFON SLICE,65
Snacks,CAFE LATTE PANNA COTTA,65
Snacks,NO BAKE CHEESECAKE,65
Snacks,MATCHA CREAM PUFF,65
Snacks,DOUBLE CHOCOLATE MUFFINS,65
Snacks,CHEESE BREAD,65
Snacks,CORN MUFFINS,65
Snacks,CHEESE ROLL,65
Snacks,PANDESAL (CORNED BEEF),65
Snacks,PANDESAL (BEEF AND MUSHROOM),65
Snacks,PANDESAL (TUNA),65
Snacks,CHEESE BREAD,65
Snacks,SPANISH BREAD,65
Snacks,YEMA PANDESAL,65
Snacks,YEMA CHEESE PANDESAL,65
Snacks,PESTO CHEESE PANDESAL,65
Snacks,CHEESE ENSAYMADA,100
Snacks,GARLIC CHEESE BUN,100
Snacks,YEMA ENSAYMADA,100
Snacks,BACON AND CHEESE BUN,100
Snacks,SPINACH AND CREAM CHEESE BUN,100
Snacks,TINAPA PASTA,150
Snacks,PANCIT NEGRA,150
Snacks,PINOY STYLE SPAGHETTI,150
Snacks,CHEESE BURGER,150
Snacks,EGG SANDWICH,150
Snacks,BEEFY MAC AND CHEESE,150
Snacks,SEAFOOD YAKISOBA,150
Snacks,GARLIC CHICKEN SOTANGHON,150
Snacks,PALABOK,150
Snacks,CHICKEN MACARONI,150
Snacks,KANI MANGO WRAP + SRIRACHA SAUCE,150
Snacks,PANCIT SISIG,150
Snacks,CHICKEN CHEESE QUESIDILLA + SALSA DIP,150
Snacks,GINATAANG HALO-HALO WITH TURON NA SAGING,150
Snacks,BEEF LASAGNA,150
Snacks,CHICKEN ALFREDO PASTA,150
Snacks,CHICKEN BURGER,150
Snacks,CHICKEN ADOBO WRAP + GARLIC AOILI DIP,150
Snacks,SPAGHETTI CARBONARA,150
Snacks,GINATAANG HALO-HALO,150
Snacks,HOTDOG SANDWICH + CHIPS,100
Snacks,LUGAW TOKWA'T BABOY WITH EGG,100
Snacks,PASTA AMATRICIANA,150
Snacks,PASTA TUYONESCA,150
Snacks,BAKED MAC,150
Snacks,BAKED LASAGNA,150
Snacks,YAKISOBA,150
Breakfast,TAPSILOG,200
Breakfast,CORNED BEEF SILOG,150
Breakfast,LONGSILOG,150
Breakfast,CHICKEN ARROZ CALDO WITH EGG,200
Breakfast,TOCILOG (CHICKEN OR PORK),150
Breakfast,CHAMPORADO WITH DILIS,100
Breakfast,BANGSILOG,250
Breakfast,LUGAW,100
Lunch/Dinner,BANGUS IN OLIVE OIL,300
Lunch/Dinner,BANGUS SISIG,300
Lunch/Dinner,SINIGANG NA BANGUS,300
Lunch/Dinner,SPICY SQUID ADOBO,300
Lunch/Dinner,STIR FRY SQUID W/ OYSTER SAUCE,300
Dessert,CHOCOLATE CHIP COOKIES,0
Dessert,BUKO PANDAN,0
Dessert,INUTAK,0
Dessert,CARROT LOAF,0
Dessert,MANGO SAGO,0
Dessert,BLUEBERRY MUFFIN,0
Dessert,FRUIT COCKTAIL,0
Dessert,CARAMEL BAR,0
Dessert,COFFEE JELLY,0
Dessert,OATMEAL COOKIES,0
Dessert,CLASSIC BROWNIE,0
Dessert,WHITE CHOCOLATE CHIP MOCHA MUFFIN,0
Dessert,MARBLE LOAF,0
Dessert,LECHE FLAN,0
Dessert,REVEL BAR,0
Dessert,BANANA LOAF,0
Dessert,CHOCOLATE MUFFIN,0
Dessert,"BANANA, LAKATAN (+15/HD)",15
Dessert,WATERMELON AND PINEAPPLE (+25/HD),25
Dessert,MELON (+15/HD),15
Dessert,LYCHEE (+20/HD),20
Drinks,BOTTLED WATER (320ML),0
Drinks,ICED TEA,0
Drinks,FOUR SEASONS,0
Drinks,ORANGE JUICE,0
Drinks,LEMONADE,0
Drinks,GULAMAN,0
Drinks,FREE FLOWING BREWED COFFEE (+20/HD),20
Drinks,SOFTDRINKS IN CAN (+60/HD),60
Drinks,DEL MONTE FRUIT JUICE IN CAN (+80/HD),80
